1,10,23,40,39,51,53,69,14,94,15
0,44,16,110,10,87,101,2,128,59,67
0,39,59,41,99,13,8,104,2,26,45
0,33,18,96,74,50,31,47,52,123,98
1,17,9,129,18,7,61,128,8,20,37
0,48,2,85,128,62,35,7,99,76,37
1,110,46,19,31,10,77,51,5,56,13
0,42,59,51,37,53,84,61,44,2,17
0,70,113,85,40,14,61,98,94,30,50
1,56,37,15,51,112,40,123,94,45,67
1,61,87,69,106,72,63,19,13,109,98
0,8,108,105,68,22,70,61,90,48,97
0,2,14,37,48,106,61,11,12,26,64
0,42,126,110,61,84,99,128,87,12,135
0,129,48,26,74,83,8,96,31,97,84
1,25,11,50,12,129,20,87,46,48,112
1,53,5,19,41,14,70,74,16,87,97
0,88,49,94,2,104,68,9,59,36,109
1,19,119,98,135,109,104,88,106,94,102
0,11,12,2,90,128,5,28,70,13,25
1,67,123,23,30,28,17,81,1,79,26
1,135,1,106,105,36,112,14,7,17,99
1,5,120,61,8,92,31,72,100,16,4
0,1,79,84,106,2,52,64,126,41,81
0,109,59,78,69,64,81,18,74,128,121
1,13,26,94,128,47,97,84,59,8,25
0,12,39,120,31,101,40,8,135,14,56
1,14,7,10,26,61,53,55,87,93,39
1,4,123,135,37,19,17,42,25,21,14
0,44,16,110,10,87,101,2,128,59,67
0,39,59,41,99,13,8,104,2,26,45
0,33,18,96,74,50,31,47,52,123,98
0,48,2,85,128,62,35,7,99,76,37
1,110,46,19,31,10,77,51,5,56,13
0,42,59,51,37,53,84,61,44,2,17
0,70,113,85,40,14,61,98,94,30,50
1,56,37,15,51,112,40,123,94,45,67
1,61,87,69,106,72,63,19,13,109,98
0,8,108,105,68,22,70,61,90,48,97
0,2,14,37,48,106,61,11,12,26,64
0,42,126,110,61,84,99,128,87,12,135
0,129,48,26,74,83,8,96,31,97,84
1,53,5,19,41,14,70,74,16,87,97
0,88,49,94,2,104,68,9,59,36,109
1,19,119,98,135,109,104,88,106,94,102
0,11,12,2,90,128,5,28,70,13,25
1,67,123,23,30,28,17,81,1,79,26
1,135,1,106,105,36,112,14,7,17,99
1,5,120,61,8,92,31,72,100,16,4
0,1,79,84,106,2,52,64,126,41,81
0,109,59,78,69,64,81,18,74,128,121
1,13,26,94,128,47,97,84,59,8,25
0,12,39,120,31,101,40,8,135,14,56
1,14,7,10,26,61,53,55,87,93,39
1,4,123,135,37,19,17,42,25,21,14
1,81,51,4,26,8,86,114,129,14,35
1,85,76,102,27,67,13,29,14,42,3
0,55,110,59,50,95,10,111,76,99,84
1,32,26,106,31,19,48,16,74,111,61
1,71,123,48,15,101,52,10,29,36,9
0,86,50,28,93,10,70,37,71,26,55
0,109,14,20,121,99,44,88,120,82,86
1,10,23,40,39,51,53,69,14,94,15
0,44,16,110,10,87,101,2,128,59,67
0,39,59,41,99,13,8,104,2,26,45
0,33,18,96,74,50,31,47,52,123,98
1,17,9,129,18,7,61,128,8,20,37
0,48,2,85,128,62,35,7,99,76,37
1,110,46,19,31,10,77,51,5,56,13
0,42,59,51,37,53,84,61,44,2,17
0,70,113,85,40,14,61,98,94,30,50
1,56,37,15,51,112,40,123,94,45,67
1,61,87,69,106,72,63,19,13,109,98
0,8,108,105,68,22,70,61,90,48,97
0,2,14,37,48,106,61,11,12,26,64
0,42,126,110,61,84,99,128,87,12,135
0,129,48,26,74,83,8,96,31,97,84
1,25,11,50,12,129,20,87,46,48,112
1,53,5,19,41,14,70,74,16,87,97
0,88,49,94,2,104,68,9,59,36,109
1,19,119,98,135,109,104,88,106,94,102
0,11,12,2,90,128,5,28,70,13,25
1,67,123,23,30,28,17,81,1,79,26
1,135,1,106,105,36,112,14,7,17,99
1,5,120,61,8,92,31,72,100,16,4
0,1,79,84,106,2,52,64,126,41,81
0,109,59,78,69,64,81,18,74,128,121
1,13,26,94,128,47,97,84,59,8,25
0,12,39,120,31,101,40,8,135,14,56
1,14,7,10,26,61,53,55,87,93,39
1,4,123,135,37,19,17,42,25,21,14
0,69,121,44,21,110,55,8,74,9,68
1,112,96,94,14,74,99,93,59,64,25
1,81,51,4,26,8,86,114,129,14,35
1,85,76,102,27,67,13,29,14,42,3
1,10,23,40,39,51,53,69,14,94,15
0,44,16,110,10,87,101,2,128,59,67
0,39,59,41,99,13,8,104,2,26,45
0,33,18,96,74,50,31,47,52,123,98
1,17,9,129,18,7,61,128,8,20,37
0,48,2,85,128,62,35,7,99,76,37
